imagen,nombre,precio_soles,precio_dolares,link,stock
https://www.infotec.com.pe/57478-home_default/audifono-kingston-hyperx-cloud-stinger-core-negro-hx-hscsc2-bkww.jpg,AUDIFONO KINGSTON HYPERX CLOUD STINGER CORE NEGRO...,134.0,34.88674824264514,https://www.infotec.com.pe/audifonos-gamer/18881-audifono-kingston-hyperx-cloud-stinger-core-negro-hx-hscsc2-bkww.html,Disponible
https://www.infotec.com.pe/46921-home_default/cooler-para-procesador-aerocool-mirage-5-rgb-intelamd.jpg,COOLER PARA PROCESADOR AEROCOOL MIRAGE 5 RGB INTEL/AMD,139.0,36.18849258005727,https://www.infotec.com.pe/cooler-para-procesador/19683-cooler-para-procesador-aerocool-mirage-5-rgb-intelamd.html,Disponible
https://www.infotec.com.pe/55134-home_default/fuente-de-poder-kolink-core-500w-80-plus-white-pgw-ps-kol-008.jpg,FUENTE DE PODER KOLINK CORE 500W 80 PLUS WHITE...,169.0,43.99895860453007,https://www.infotec.com.pe/fuente-de-poder/21301-fuente-de-poder-kolink-core-500w-80-plus-white-pgw-ps-kol-008.html,Disponible
https://www.infotec.com.pe/67639-home_default/audifono-gamer-kingston-hyperx-cloud-core-71-hx-hscc-2-bkww-71-negro.jpg,AUDIFONO GAMER KINGSTON HYPERX CLOUD CORE 7.1 (...,211.0,54.93361103879198,https://www.infotec.com.pe/inicio/23416-audifono-gamer-kingston-hyperx-cloud-core-71-hx-hscc-2-bkww-71-negro.html,Consultar
https://www.infotec.com.pe/58848-home_default/procesador-intel-celeron-g6900-340ghz-bx80715g6900.jpg,PROCESADOR INTEL CELERON G6900 3.40GHZ BX80715G6900,266.0,69.25279875032544,https://www.infotec.com.pe/procesadores-intel/22038-procesador-intel-celeron-g6900-340ghz-bx80715g6900-5032037238755.html,Disponible
https://www.infotec.com.pe/36916-home_default/procesador-intel-pentium-gold-g5420-bx80684g5420-38ghz-40mb-lga-1151.jpg,PROCESADOR INTEL PENTIUM GOLD G5420 (BX80684G5420) 3.8GHZ...,298.0,77.58396250976308,https://www.infotec.com.pe/procesadores-intel/18108-procesador-intel-pentium-gold-g5420-bx80684g5420-38ghz-40mb-lga-1151-5032037155168.html,Disponible
https://www.infotec.com.pe/57518-home_default/teclado-hyperx-alloy-origins-core-hx-kb7blx-us-mecanico-led-rgb.jpg,TECLADO HYPERX ALLOY ORIGINS CORE HX-KB7BLX-US MECANICO...,311.0,80.96849778703462,https://www.infotec.com.pe/kingston/21756-teclado-hyperx-alloy-origins-core-hx-kb7blx-us-mecanico-led-rgb.html,Disponible
https://www.infotec.com.pe/57543-home_default/teclado-hyperx-alloy-origins-core-mechanical-gaming-keyboard-aqua-hx-kb7aqx-us.jpg,TECLADO HYPERX ALLOY ORIGINS CORE MECHANICAL GAMING...,311.0,80.96849778703462,https://www.infotec.com.pe/teclados-gamer/21760-teclado-hyperx-alloy-origins-core-mechanical-gaming-keyboard-aqua-hx-kb7aqx-us.html,Consultar
https://www.infotec.com.pe/57892-home_default/mouse-gaming-wireless-corsair-dark-core-rgb-pro-ch-9315411-na.jpg,MOUSE GAMING WIRELESS CORSAIR DARK CORE RGB PRO...,325.0,84.6133819317886,https://www.infotec.com.pe/corsair/21843-mouse-gaming-wireless-corsair-dark-core-rgb-pro-ch-9315411-na.html,Disponible
https://www.infotec.com.pe/56593-home_default/procesador-intel-core-i3-10100f-bx8070110100f-3-6ghz-6-0mb-lga-1200.jpg,PROCESADOR INTEL CORE I3 10100F  BX8070110100F 3 6GHZ 6...,326.0,84.87373079927102,https://www.infotec.com.pe/procesadores/19047-procesador-intel-core-i3-10100f-bx8070110100f-3-6ghz-6-0mb-lga-1200-5032037192620.html,Disponible
https://www.infotec.com.pe/57897-home_default/mouse-corsair-dark-core-rgb-pro-se-ch-9315511-na-gaming-led-rgb.jpg,MOUSE CORSAIR DARK CORE RGB PRO SE ( CH-9315511-NA )...,344.0,89.5600104139547,https://www.infotec.com.pe/corsair/21844-mouse-corsair-dark-core-rgb-pro-se-ch-9315511-na-gaming-led-rgb.html,Disponible
https://www.infotec.com.pe/56591-home_default/procesador-intel-core-i3-10105f-37-ghz-6mb-lga-1200-bx8070110105f.jpg,PROCESADOR INTEL CORE I3 10105F 3.7 GHZ 6MB LGA 1200...,366.0,95.28768549856808,https://www.infotec.com.pe/procesadores/19831-procesador-intel-core-i3-10105f-37-ghz-6mb-lga-1200-bx8070110105f-5032037215510.html,Disponible
https://www.infotec.com.pe/30792-home_default/procesador-intel-core-i5-7640x-bx80677i57640x-de-4ghz.jpg,PROCESADOR INTEL CORE I5-7640X (BX80677I57640X) 4.0GHZ...,432.0,112.47071075240822,https://www.infotec.com.pe/procesadores/7429-procesador-intel-core-i5-7640x-bx80677i57640x-de-4ghz.html,Disponible
https://www.infotec.com.pe/58122-home_default/mainboard-gigabyte-intel-h610m-h-ddr4.jpg,MAINBOARD GIGABYTE INTEL H610M H DDR4,433.0,112.73105961989064,https://www.infotec.com.pe/gigabyte/21918-mainboard-gigabyte-intel-h610m-h-ddr4-4719331830465.html,Disponible
https://www.infotec.com.pe/58120-home_default/procesador-intel-core-i3-12100f-bx8071512100f.jpg,PROCESADOR INTEL CORE I3-12100F (BX8071512100F),467.0,121.58292111429314,https://www.infotec.com.pe/procesadores-intel/21917-procesador-intel-core-i3-12100f-bx8071512100f-5032037238731.html,Disponible
